rank_overall,layer,measurement,measurement_label,site,timepoint,days_from_launch,phase,value_raw,value_transformed,z_score,z_score_ci_low,z_score_ci_high,z_score_robust,deviation_flag,deviation_direction,fold_change
51,immune,il_6,IL-6,,L-92,-92,pre-flight,2.67,1.3001916620664788,0.4754798945064137,-1.154700538379275,1.1547005383792543,0.0,stable,,1.0177890724269378
51,immune,il_6,IL-6,,L-44,-44,pre-flight,2.69,1.3056264580524355,0.6735443950023415,0.5773502691896022,1.3658774509476093,0.6744907594765953,stable,,1.0254129606099112
51,immune,il_6,IL-6,,L-3,-3,pre-flight,2.51,1.2556160374777745,-1.1490242895087552,-15.360798939543,-0.5773502691896228,-5.532102209663082,elevated,down,0.9567979669631512
51,immune,il_6,IL-6,,R+1,1,post-flight,7.6,2.151762203259462,31.509927979449465,29.88224480833428,270.81525533852323,105.68500870342196,extreme,up,2.8970775095298604
51,immune,il_6,IL-6,,R+45,45,post-flight,1.32,0.8415671856782186,-16.238528886276587,-147.31674539741593,-14.917434593450318,-56.91804663744398,extreme,down,0.503176620076239
51,immune,il_6,IL-6,,R+82,82,post-flight,3.64,1.534714366238164,9.022373352281877,8.511534621528307,74.16422976498467,29.105673379461923,extreme,up,1.3875476493011438
51,immune,il_6,IL-6,,R+194,194,post-flight,5.78,1.913977101952304,22.844140443455355,21.646843625653904,195.03396054638813,76.17445228376768,extreme,up,2.203303684879289
60,microbial,K02899,large subunit ribosomal protein L27,ORC,L-92,-92,pre-flight,166.4658,5.120779151313252,0.011946782494514,-1.1547005383792477,1.1547005383792557,0.0,stable,,0.9959013083387526
60,microbial,K02899,large subunit ribosomal protein L27,ORC,L-44,-44,pre-flight,189.3065,5.248635930313631,0.9939730852158728,0.5773502691896257,2.825763688291886,0.6744907594765952,stable,,1.1325484936066752
60,microbial,K02899,large subunit ribosomal protein L27,ORC,L-3,-3,pre-flight,145.68040000000002,4.988256070224223,-1.00591986771038,-2.94996482875442,-0.577350269189622,-0.699107190958201,elevated,down,0.8715501980545723
60,microbial,K02899,large subunit ribosomal protein L27,ORC,R+1,1,post-flight,13.1266,2.6480595449537345,-18.980207655344596,-34.65214998588741,-16.144373310345006,-13.044490392340972,extreme,down,0.0785314347694209
60,microbial,K02899,large subunit ribosomal protein L27,ORC,FD2,2,in-flight,95.2033,4.566463660617612,-4.245570074452152,-8.663904202148073,-3.383119822313644,-2.9242147286366222,extreme,down,0.5695649858899952
60,microbial,K02899,large subunit ribosomal protein L27,ORC,FD3,3,in-flight,278.0555,5.631410686769647,3.933941398170619,3.123573797418617,7.828555055564934,2.69376606274169,extreme,up,1.663499867485009
60,microbial,K02899,large subunit ribosomal protein L27,ORC,R+45,45,post-flight,21.1903,3.0996552564565385,-15.511647987572834,-28.53447110395063,-13.140351737653134,-10.66215965626793,extreme,down,0.1267734723534243
60,microbial,K02899,large subunit ribosomal protein L27,ORC,R+82,82,post-flight,0.0,0.0,-39.31909108920009,-70.52489532787679,-33.75930586216631,-27.01396238732847,extreme,down,0.0
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,L-92,-92,pre-flight,42.0,3.7612001156935624,-0.0202313337730963,-1.1547005383792384,1.1547005383792446,0.0,stable,,0.9987278110026514
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,L-44,-44,pre-flight,40.4507,3.724504769255353,-0.9897308312571906,-2.7847073181787625,-0.5773502691896156,-0.6744907594765952,stable,,0.9618866443934512
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,L-3,-3,pre-flight,43.7098,3.8001927169636858,1.0099621650303106,0.5773502691896257,2.995183680645053,0.716716199666891,elevated,up,1.0393855446038975
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,R+1,1,post-flight,5.8851,1.929359656403391,-48.41787782399942,-85.88703976439555,-41.65763631949089,-33.67073982274867,extreme,down,0.1399431676317072
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,FD2,2,in-flight,12.4282,2.5973569732576895,-30.76923498855208,-54.357011997534585,-26.37111677254922,-21.392397708386373,extreme,down,0.2955330709691227
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,FD3,3,in-flight,34.296,3.563769643071092,-5.236389854522879,-9.92455939379416,-4.255629487235886,-3.628935065300077,extreme,down,0.8155325953844508
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,R+45,45,post-flight,9.0,2.302585092994046,-38.55717590005878,-68.27048939497406,-33.11670690569309,-26.810548201287663,extreme,down,0.214013102357711
62,microbial,K21399,2-amino-4-ketopentanoate thiolase alpha subunit [EC:2.3.1.263],NAC,R+82,82,post-flight,10.3132,2.4259701855646907,-35.297313360112554,-62.44661062089556,-30.29314971198394,-24.542628345667826,extreme,down,0.2452399919150605
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,L-92,-92,pre-flight,146.0652,4.990876025860058,0.9271946400368836,0.5773502691896257,2.3095359891086167,0.6744907594765952,stable,,1.1434868609900577
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,L-44,-44,pre-flight,129.357,4.870276840510321,0.1324165846978449,-1.1547005383792517,1.1547005383792517,0.0,stable,,1.0126849508102609
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,L-3,-3,pre-flight,107.7878,4.689399195781599,-1.059611224734729,-3.752473232407024,-0.5773502691896257,-1.0116179442805842,elevated,down,0.8438281881996816
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,R+1,1,post-flight,0.0,0.0,-31.96389604824648,-71.10183086290688,-27.51898177683331,-27.238631135780295,extreme,down,0.0
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,FD2,2,in-flight,245.1904,5.506105220301247,4.322680737429178,3.53745550209484,8.55444490420528,3.5560801305436893,extreme,up,1.919498969233579
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,FD3,3,in-flight,163.6148,5.103608199146185,1.670127166476932,1.2250214408959723,3.3890383901492513,1.3049826567203515,elevated,up,1.280875760027139
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,R+45,45,post-flight,0.0,0.0,-31.96389604824648,-71.10183086290688,-27.51898177683331,-27.238631135780295,extreme,down,0.0
63,microbial,K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],ORC,R+82,82,post-flight,0.0,0.0,-31.96389604824648,-71.10183086290688,-27.51898177683331,-27.238631135780295,extreme,down,0.0
67,microbial,K12143,hydrogenase-4 component H,ORC,L-92,-92,pre-flight,63.2535,4.162836196999807,1.0428198157852324,0.5773502691896205,3.443363395054174,0.8912451884429815,elevated,up,1.0923712095089466
67,microbial,K12143,hydrogenase-4 component H,ORC,L-44,-44,pre-flight,57.2988,4.065581509954216,-0.0919973744771952,-1.1547005383792568,1.1547005383792517,0.0,stable,,0.989535115992178
67,microbial,K12143,hydrogenase-4 component H,ORC,L-3,-3,pre-flight,53.162,3.9919795555440727,-0.9508224413080268,-2.465509594964612,-0.5773502691896227,-0.6744907594765952,stable,,0.9180936744988756
67,microbial,K12143,hydrogenase-4 component H,ORC,R+1,1,post-flight,0.0,0.0,-47.53127177928089,-95.09665450401624,-41.045846864154704,-37.257124248118124,extreme,down,0.0
67,microbial,K12143,hydrogenase-4 component H,ORC,FD2,2,in-flight,42.3993,3.770443311944027,-3.535820091710654,-6.410944424787845,-2.823163053310439,-2.704656267918516,extreme,down,0.7322246930736271
67,microbial,K12143,hydrogenase-4 component H,ORC,FD3,3,in-flight,167.2917,5.125698783284276,12.277990561478216,10.33832242656372,26.102094858332364,9.714949970460456,extreme,up,2.8890833972793257
67,microbial,K12143,hydrogenase-4 component H,ORC,R+45,45,post-flight,10.3688,2.4308727612955146,-19.16661110677615,-37.89171799055243,-16.402993689553867,-14.980525371129211,extreme,down,0.1790664326425631
67,microbial,K12143,hydrogenase-4 component H,ORC,R+82,82,post-flight,0.0,0.0,-47.53127177928089,-95.09665450401624,-41.045846864154704,-37.257124248118124,extreme,down,0.0
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,L-92,-92,pre-flight,52.744200000000006,3.984235754208651,0.956167001669774,0.5773502691896257,2.5042048551131972,0.6744907594765952,stable,,1.0830683260253833
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,L-44,-44,pre-flight,48.928,3.910581967631742,0.0825487303901659,-1.1547005383792517,1.154700538379257,0.0,stable,,1.0047051060736525
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,L-3,-3,pre-flight,44.4244,3.81604940560942,-1.0387157320599347,-3.3777389998349197,-0.5773502691896204,-0.8656899056659483,elevated,down,0.912226567900964
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,R+1,1,post-flight,0.0,0.0,-46.30143255606112,-93.116390084756,-39.87656515647176,-35.81148402450676,extreme,down,0.0
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,FD2,2,in-flight,0.0,0.0,-46.30143255606112,-93.116390084756,-39.87656515647176,-35.81148402450676,extreme,down,0.0
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,FD3,3,in-flight,4.6035,1.7233914025099455,-25.86003656311052,-52.58892219472889,-22.12838585811784,-20.029381976832944,extreme,down,0.0945299206141689
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,R+45,45,post-flight,6.1347,1.9649702037939552,-22.994635277391698,-46.90792767561388,-19.64050999101906,-17.817103739361027,extreme,down,0.1259721307682725
70,microbial,K09690,lipopolysaccharide transport system permease protein,NAC,R+82,82,post-flight,19.2456,3.007937485992353,-10.623848703860634,-22.38139065211235,-8.899612537419726,-8.266042932125082,extreme,down,0.3951960552127838
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,L-92,-92,pre-flight,231.673,5.449634034354161,0.8012472886629488,0.5773502691896257,1.7341588700368802,0.6744907594765952,stable,,1.1253463988685315
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,L-44,-44,pre-flight,214.756,5.374148139542085,0.319447245795115,-1.154700538379238,1.154700538379256,0.0,stable,,1.0431724509779317
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,L-3,-3,pre-flight,171.1755,5.148514305448616,-1.1206945344580694,-6.331949420827898,-0.5773502691896212,-2.0161109105243646,elevated,down,0.8314811501535367
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,R+1,1,post-flight,15.2074,2.785467928064947,-16.20319238066498,-60.552892240139165,-14.169672503094004,-23.130690657215762,extreme,down,0.0738696042532073
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,FD2,2,in-flight,265.59029999999996,5.585713022986667,1.66979183887029,1.3600811882521264,4.2770815175126415,1.8904003094666304,elevated,up,1.2900989225305188
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,FD3,3,in-flight,376.4329,5.9333928045455995,3.888910179805366,3.359946984536162,12.25471823923016,4.9970310316982856,extreme,up,1.828514364775516
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,R+45,45,post-flight,40.8446,3.733962756352042,-10.149281910817352,-38.78933975924893,-8.713898352125327,-14.655584166345315,extreme,down,0.1984017279666841
78,microbial,K00806,undecaprenyl diphosphate synthase [EC:2.5.1.31],ORC,R+82,82,post-flight,0.0,0.0,-33.98185911687727,-124.46644835910703,-30.191777702901323,-48.019742883138036,extreme,down,0.0
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,L-92,-92,pre-flight,59.7946,4.107500969238292,-0.9580232563469468,-2.517976849573528,-0.5773502691896204,-0.6744907594765952,stable,,0.9076671404435624
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,L-44,-44,pre-flight,72.6737,4.299645883405307,1.037262091875739,0.5773502691896204,3.3552815764021977,0.856944593738123,elevated,up,1.1031686718274445
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,L-3,-3,pre-flight,65.1634,4.192127439963305,-0.0792388355287922,-1.1547005383792563,1.1547005383792397,0.0,stable,,0.9891641877289928
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,R+1,1,post-flight,7.5731,2.1486293941567585,-21.29948152368757,-41.24694430650875,-18.23519517365879,-16.28710895180471,extreme,down,0.114957772462616
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,FD2,2,in-flight,16.0,2.833213344056216,-14.190574526151805,-27.235557879618767,-12.064153965451782,-10.830830977108365,extreme,down,0.2428760163475798
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,FD3,3,in-flight,55.0,4.02535169073515,-1.811083835519557,-3.841347237178902,-1.3178680434404195,-1.3292377762591574,elevated,down,0.8348863061948057
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,R+45,45,post-flight,9.6645,2.36692046849894,-19.032687296159093,-36.779178743792194,-16.26745518304519,-14.54728320628296,extreme,down,0.1467047037494491
79,microbial,K01066,acetyl esterase [EC:3.1.1.-],NAC,R+82,82,post-flight,0.0,0.0,-43.61143689084935,-85.22296322153927,-37.603572907979846,-33.41213684771794,extreme,down,0.0
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,L-92,-92,pre-flight,117.2349,4.772673323658016,-0.2143597828174564,-1.1547005383792583,1.154700538379238,0.0,stable,,0.9715081488749358
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,L-44,-44,pre-flight,136.0952,4.920675575014452,1.0897975243834508,0.5773502691896188,4.5716450715329175,1.3306177296791428,elevated,up,1.1278006448827451
81,microbial,K01142,exodeoxyribonuclease III [EC:3.1.11.2],NAC,L-3,-3,pre-flight,108.6892,4.697650912115582,-0.8754377415659865,-2.032677915796954,-0.5773502691896257,-0.6744907594765952,stable,,0.9006912062423192
