layer,measurement,measurement_label,site,peak_abs_z,peak_z_ci_lower_abs,peak_timepoint,clinical_flagged_count,concordance_class,signal_score,rank_overall,rank_within_layer
microbial,K05565,multicomponent Na+:H+ antiporter subunit A,NAC,235.76265401155237,204.89012121774155,R+1,0,ambiguous,163.91209697419325,1,1
microbial,K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",ORC,173.77608613453393,160.7686812694282,R+82,0,idiosyncratic,160.7686812694282,2,1
microbial,K21498,antitoxin HigA-1,NAC,220.52670380278246,190.74811615938484,R+1,0,ambiguous,152.59849292750786,3,2
microbial,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],NAC,158.99301676514054,146.72460803324714,R+1,0,ambiguous,117.37968642659771,4,3
microbial,K17898,"D-ornithine 4,5-aminomutase subunit beta [EC:5.4.3.5]",NAC,123.84349458910701,121.56451867318928,R+1,0,ambiguous,97.25161493855143,5,4
microbial,K09117,uncharacterized protein,NAC,119.37349247938103,118.64278525636394,R+1,0,ambiguous,94.91422820509115,6,5
microbial,K03723,transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-],ORC,105.08485458827516,91.23714875616787,R+1,0,idiosyncratic,91.23714875616787,7,2
microbial,K21400,2-amino-4-ketopentanoate thiolase beta subunit [EC:2.3.1.263],NAC,124.3305746475174,108.02254961514292,R+1,0,ambiguous,86.41803969211435,8,6
microbial,K05567,multicomponent Na+:H+ antiporter subunit C,NAC,110.534992284448,102.73587488166592,R+1,0,ambiguous,82.18869990533274,9,7
microbial,K06196,cytochrome c-type biogenesis protein,NAC,107.90682114738836,95.83188241581716,R+1,0,ambiguous,76.66550593265373,10,8
microbial,K20074,PPM family protein phosphatase [EC:3.1.3.16],ORC,77.0714565451992,74.0815428889038,R+1,0,idiosyncratic,74.0815428889038,11,3
microbial,K00124,formate dehydrogenase iron-sulfur subunit,NAC,95.64387804647517,84.78609717576232,R+1,0,ambiguous,67.82887774060985,12,9
microbial,K21570,putidaredoxin---NAD+ reductase [EC:1.18.1.5],ORC,60.848167033174974,55.30321023198944,R+1,0,concordant,66.36385227838733,13,4
microbial,K17836,beta-lactamase class A [EC:3.5.2.6],ORC,57.12500362176529,55.14656069961253,R+1,0,concordant,66.17587283953503,14,5
microbial,K02530,"DeoR family transcriptional regulator, lactose phosphotransferase system repressor",ORC,91.25390055013983,81.29321014683421,R+1,0,ambiguous,65.03456811746737,15,6
microbial,K24305,"UDP-2-acetamido-4-(D-alanylamino)-2,4,6-trideoxy-alpha-D-mannopyranose hydrolase",NAC,90.07340926510781,79.9079204703461,R+1,0,ambiguous,63.92633637627688,16,10
microbial,K03687,molecular chaperone GrpE,NAC,89.37015750123514,77.12709303006535,R+1,0,ambiguous,61.701674424052285,17,11
microbial,K01740,O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49],NAC,87.04044510801123,76.89836747414529,R+1,0,ambiguous,61.51869397931623,18,12
microbial,K19084,bacitracin transport system permease protein,ORC,83.95585905293623,76.69190169619041,R+1,0,ambiguous,61.353521356952335,19,7
microbial,K02948,small subunit ribosomal protein S11,NAC,80.79700877304208,75.66337064502864,R+1,0,ambiguous,60.530696516022914,20,13
microbial,K01956,carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],ORC,48.362813381822384,47.83491291238056,R+45,0,concordant,57.40189549485667,21,8
microbial,K08161,"MFS transporter, DHA1 family, multidrug resistance protein",ORC,48.72547985854184,43.91918791436298,R+1,0,concordant,52.70302549723557,22,9
microbial,K00574,cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],NAC,65.89597529717994,58.753851540592585,R+1,0,ambiguous,47.003081232474074,23,14
